Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
21-350533.19,21-350533.19,Woodlake Petwell,"6600 NW 63rd Street, Oklahoma City, OK 73132",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402873,,,,,,
21-350533.20,21-350533.20,Conrad Weiser Animal Hospital,"105 North 3rd Street, Womelsdorf, PA 19567",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402874,,,,,,
21-350533.21,21-350533.21,I-20 Animal Hospital,"3713 Fort Worth Highway, Hudson Oaks, TX 76087",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402875,,,,,,
21-350533.22,21-350533.22,Enid Pet Hospital,"1212 North Van Buren Street, Enid, OK 73703",Retail,"",0,0,"","",,"January 19, 2022","February 12, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402876,,,,,,
21-350533.23,21-350533.23,Miami Valley Animal Hospital,"1550 East David Road, Kettering, OH 45429",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402877,,,,,,
21-350533.24,21-350533.24,North Main Animal Hospital,"1611 North Main Street, Royal Oak , MI 48067",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402878,,,,,,
21-350533.25,21-350533.25,Companion Pet Clinic of Klamath Falls,"2343 Gettle Street, Klamath Falls, OR 97603",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402879,,,,,,
21-350533.26,21-350533.26,Chesterfield Veterinary Group,"17709 Edison Avenue, Chesterfield, MO 63005",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402880,,,,,,
21-350533.27,21-350533.27,Egg Harbor (Shore Veterinarians),"6633 East Black Horse Pike, Egg Harbor Township, NJ 08234",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402881,,,,,,
21-350533.28,21-350533.28,Seaville (Shore Veterinarians),"73 Hope Corson Road, Ocean View, NJ 08230",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402882,,,,,,
21-350533.29,21-350533.29,Southeast Veterinary Oncology & Internal Medicine (SEVO),"304 Corporate Way, Orange Park, FL 32073",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402883,,,,,,
21-350533.30,21-350533.30,Cherry Hill Animal Hospital,"1425 Route 70 East, Cherry Hill, NJ 08034",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402884,,,,,,
21-350533.31,21-350533.31,Linwood Pet Hospital,"535 Maple Avenue, Linwood, NJ 08221",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402886,,,,,,
21-350533.32,21-350533.32,Virginia Veterinary Center Richmond,"3312 West Cary Street, Richmond, VA 23221",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402887,,,,,,
21-350533.33,21-350533.33,Oley Valley Animal Clinic,"900 Blandon Road, Oley, PA 19547",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402888,,,,,,
21-350533.34,21-350533.34,Gull Lake Animal Hospital,"7820 North 34th Street, Richland, MI 49083",Retail,"",0,0,"","",,"January 19, 2022","February 15, 2022",,,,,,,x,,,,1,Realty Income Corporation,NVA SLB Portfolio ,,https://www.SiteLynx.net/projects/402889,,,,,,
